n_cells,replicate,window_width,estimated_midpoint,error
12,0,1,19.066562314737464,-0.9334376852625361
12,0,5,17.785970991992265,-2.214029008007735
12,0,9,17.639189384147475,-2.3608106158525253
12,1,1,19.31235783749988,-0.6876421625001186
12,1,5,18.681686058350543,-1.318313941649457
12,1,9,18.42246807275385,-1.5775319272461488
12,2,1,18.759844243808963,-1.2401557561910366
12,2,5,17.863544950896618,-2.1364550491033825
12,2,9,17.42814922024636,-2.571850779753639
12,3,1,18.572603793190734,-1.4273962068092665
12,3,5,17.91099720312709,-2.0890027968729115
12,3,9,17.656103634747627,-2.343896365252373
12,4,1,18.81868071348686,-1.1813192865131406
12,4,5,18.460401644681642,-1.5395983553183576
12,4,9,18.36756643852417,-1.6324335614758283
12,5,1,19.48735885718519,-0.512641142814811
12,5,5,18.90300319127349,-1.0969968087265087
12,5,9,18.660763955784844,-1.3392360442151556
12,6,1,18.77302735281699,-1.2269726471830111
12,6,5,17.694666555002367,-2.3053334449976326
12,6,9,17.29707380547158,-2.7029261945284198
12,7,1,19.248116297929432,-0.7518837020705682
12,7,5,18.471634555838342,-1.5283654441616576
12,7,9,18.115319685449467,-1.8846803145505326
12,8,1,20.344015961529834,0.34401596152983416
12,8,5,19.476687408002736,-0.5233125919972643
12,8,9,19.041341747110337,-0.9586582528896628
12,9,1,19.314531309320486,-0.6854686906795138
12,9,5,18.01138240624795,-1.9886175937520498
12,9,9,17.578282820687395,-2.421717179312605
12,10,1,19.906286357380754,-0.09371364261924597
12,10,5,18.881776109099487,-1.1182238909005129
12,10,9,18.453436076678077,-1.5465639233219228
12,11,1,19.34663639027599,-0.6533636097240105
12,11,5,18.18111691975778,-1.8188830802422196
12,11,9,17.828638265308378,-2.1713617346916223
12,12,1,19.817452131233967,-0.1825478687660329
12,12,5,18.906606121808696,-1.0933938781913035
12,12,9,18.58921385228777,-1.4107861477122299
12,13,1,20.085371773702,0.08537177370200055
12,13,5,19.049826654647674,-0.9501733453523258
12,13,9,18.851446962096023,-1.1485530379039766
12,14,1,17.56251368770449,-2.4374863122955084
12,14,5,16.70273877592271,-3.297261224077289
12,14,9,16.54996710648166,-3.4500328935183404
12,15,1,19.375115399918833,-0.6248846000811668
12,15,5,18.471864214623153,-1.528135785376847
12,15,9,18.028009014149493,-1.971990985850507
12,16,1,18.059182783696482,-1.9408172163035182
12,16,5,17.185373204150615,-2.814626795849385
12,16,9,17.161984558083088,-2.8380154419169124
12,17,1,19.633367328540608,-0.36663267145939216
12,17,5,18.905957898674018,-1.0940421013259822
12,17,9,18.577778390598013,-1.422221609401987
12,18,1,19.85944789639693,-0.14055210360307058
12,18,5,18.792330005027644,-1.2076699949723562
12,18,9,18.246660610462104,-1.7533393895378957
12,19,1,19.481364143903388,-0.518635856096612
12,19,5,18.725254404790526,-1.274745595209474
12,19,9,18.285839136366096,-1.7141608636339036
12,20,1,19.34839630811191,-0.6516036918880914
12,20,5,18.442520464253136,-1.5574795357468645
12,20,9,18.09370770421756,-1.906292295782439
12,21,1,20.240930747413913,0.24093074741391263
12,21,5,18.58036438882676,-1.4196356111732413
12,21,9,18.26954395858982,-1.7304560414101786
12,22,1,19.119353629141653,-0.8806463708583472
12,22,5,18.034615961516362,-1.9653840384836379
12,22,9,17.708304838690548,-2.291695161309452
12,23,1,18.49941755210855,-1.5005824478914498
12,23,5,17.84593545006571,-2.15406454993429
12,23,9,17.57034836602554,-2.4296516339744585
12,24,1,19.5726508381433,-0.4273491618567
12,24,5,18.85571004168362,-1.1442899583163815
12,24,9,18.50108325165641,-1.4989167483435892
12,25,1,19.293014894663724,-0.7069851053362761
12,25,5,18.638224304175484,-1.361775695824516
12,25,9,18.263604262788448,-1.7363957372115522
12,26,1,18.54750422272659,-1.452495777273409
12,26,5,17.683819211032873,-2.3161807889671273
12,26,9,17.3639009460787,-2.636099053921299
12,27,1,18.701981451143798,-1.2980185488562022
12,27,5,17.381032548012698,-2.6189674519873023
12,27,9,16.831745168552366,-3.1682548314476335
12,28,1,20.105353289890456,0.10535328989045567
12,28,5,18.282950242863645,-1.7170497571363548
12,28,9,17.78071822575754,-2.219281774242461
12,29,1,19.645284374295553,-0.35471562570444704
12,29,5,18.83152565949603,-1.1684743405039697
12,29,9,18.49900208268816,-1.5009979173118388
12,30,1,19.00625463598351,-0.9937453640164904
12,30,5,17.603381247532717,-2.3966187524672833
