row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,34,0.6618339105091395,0.6621414733801355,-0.000307562870995981,0.24242424242424243,32
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,34,0.6618339105091395,0.6801529704034426,-0.018319059894303047,0.36363636363636365,32
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,34,1.4711509613851903,1.4405062196045217,0.03064474178066856,0.24242424242424243,32
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,34,1.4711509613851903,1.5532544669763377,-0.08210350559114743,0.5454545454545454,32
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,34,1.1095340186725633,1.0656966646158164,0.043837354056746936,0.12121212121212122,32
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,34,1.1095340186725633,1.0792356053170067,0.030298413355556608,0.12121212121212122,32
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,34,0.6618339105091395,0.6286077840018178,0.03322612650732171,0.18181818181818182,32
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,34,0.6618339105091395,0.655634798286086,0.006199112223053582,0.2727272727272727,32
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,35,0.5104100314402865,0.5106273175893765,-0.00021728614909000132,0.3235294117647059,33
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,35,0.5104100314402865,0.5418809581499145,-0.03147092670962803,0.7352941176470589,33
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,35,1.4202211842426535,1.4590350798868787,-0.038813895644225216,0.5294117647058824,33
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,35,1.4202211842426535,1.5239154609728045,-0.10369427673015097,0.8823529411764706,33
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,35,1.1650507114034396,1.0582403895312602,0.10681032187217943,0.14705882352941177,33
