row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,24,1.0298022555291786,1.2101233170992487,-0.1803210615700701,0.8260869565217391,22
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,24,1.0298022555291786,0.8676205200845922,0.16218173544458636,0.08695652173913043,22
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,24,1.311786451987123,1.5457801709557746,-0.23399371896865162,0.782608695652174,22
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,24,1.311786451987123,1.612838655078008,-0.3010522030908851,0.9130434782608695,22
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,24,1.610959562992205,1.5646047130568903,0.0463548499353148,0.391304347826087,22
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,24,1.610959562992205,1.4103620330347661,0.20059752995743896,0.043478260869565216,22
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,24,1.0298022555291786,1.1346354285802638,-0.1048331730510852,0.8695652173913043,22
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,24,1.0298022555291786,1.2348160608784695,-0.20501380534929092,0.9565217391304348,22
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,25,0.433728352489687,0.47956192416317817,-0.04583357167349117,0.8333333333333334,23
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,25,0.433728352489687,0.45386069512680005,-0.020132342637113054,0.20833333333333334,23
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,25,1.5865105155522725,1.7733762663739463,-0.18686575082167378,0.9166666666666666,23
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,25,1.5865105155522725,1.7957299267472822,-0.20921941119500964,0.875,23
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,25,1.1367261318591475,1.1643700630934053,-0.02764393123425779,0.375,23
13,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,25,1.1367261318591475,1.2944345234984636,-0.15770839163931605,0.9166666666666666,23
14,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,25,0.433728352489687,0.4919186307245692,-0.05819027823488221,0.7916666666666666,23
15,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,25,0.433728352489687,0.4852548583290438,-0.051526505839356807,0.75,23
16,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,29,1.413188551184143,1.5120183811851542,-0.09882983000101109,0.6785714285714286,27
17,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,29,1.413188551184143,1.4769196398721052,-0.06373108868796207,0.5357142857142857,27
18,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,29,0.8004269698331894,0.7302994153604347,0.07012755447275465,0.10714285714285714,27
19,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,29,0.8004269698331894,0.8482556945332344,-0.047828724700044956,0.42857142857142855,27
20,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,29,0.8397949492599326,0.653442411879727,0.18635253738020563,0.03571428571428571,27
21,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,29,0.8397949492599326,0.9058526758781523,-0.06605772661821974,0.6785714285714286,27
22,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,29,1.413188551184143,1.2781301420125677,0.1350584091715754,0.14285714285714285,27
23,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,29,1.413188551184143,1.5094071202081354,-0.09621856902399228,0.8571428571428571,27
24,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,29,1.3004774947465128,1.4924975697011782,-0.19202007495466544,0.9642857142857143,27
25,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,29,1.3004774947465128,1.3490807752995735,-0.048603280553060735,0.5714285714285714,27
26,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,29,2.0841616194392336,2.254644449285852,-0.17048282984661833,0.8928571428571429,27
27,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,29,2.0841616194392336,2.260762970440011,-0.17660135100077756,0.8928571428571429,27
28,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,29,0.8264078041194103,0.9241544823539909,-0.09774667823458061,0.8214285714285714,27
29,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,29,0.8264078041194103,0.9166081314809318,-0.0902003273615215,0.7857142857142857,27
30,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,29,1.3004774947465128,1.4729380262072647,-0.1724605314607519,0.8571428571428571,27
31,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,29,1.3004774947465128,1.3386862521602725,-0.03820875741375973,0.4642857142857143,27
32,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,47,3.465828548150462,3.15997232629053,0.3058562218599321,0.10869565217391304,45
33,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,47,3.465828548150462,3.5341186212854803,-0.06829007313501823,0.5869565217391305,45
34,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,47,3.1963733412870363,1.622221524664477,1.5741518166225592,0.021739130434782608,45
35,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,47,3.1963733412870363,1.2454760097170419,1.9508973315699945,0.021739130434782608,45
36,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,47,0.9507043947352286,0.5063063089310427,0.44439808580418594,0.021739130434782608,45
37,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,47,0.9507043947352286,0.8608497049753998,0.0898546897598288,0.08695652173913043,45
38,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,47,3.465828548150462,2.948802355824363,0.517026192326099,0.15217391304347827,45
39,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,47,3.465828548150462,4.963882731623432,-1.49805418347297,1.0,45
