subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.06894405666719361,CA1,CA3,0
M02,-0.01740664864892419,CA1,CA3,0
M03,-0.0013149375414769071,CA1,CA3,0
M05,-0.037955618427322424,CA1,CA3,0
M01,-0.1157222859207816,CA1,CA3,1
M02,-0.013916301915177703,CA1,CA3,1
M03,-0.016178055293725735,CA1,CA3,1
M05,-0.03947504010746322,CA1,CA3,1
M01,0.020035201618967102,CA1,RSC,0
M02,-0.03777283400968667,CA1,RSC,0
M03,0.27362649166472963,CA1,RSC,0
M05,0.01762783193333356,CA1,RSC,0
M01,-0.007147977497733382,CA1,RSC,1
M02,-0.031001231289521314,CA1,RSC,1
M03,0.04967788993141442,CA1,RSC,1
M05,-0.07855867766634134,CA1,RSC,1
M01,-0.07233170083725113,CA3,CA1,0
M02,0.004280945561651428,CA3,CA1,0
M03,0.007959654058729282,CA3,CA1,0
M05,-0.006405917349355861,CA3,CA1,0
M01,-0.034367811595086895,CA3,CA1,1
M02,-0.0991564896770043,CA3,CA1,1
M03,-0.00598641520452331,CA3,CA1,1
M05,-0.042808209166990074,CA3,CA1,1
M01,-0.03467139766969968,RSC,CA1,0
M02,-0.022394648288850016,RSC,CA1,0
M03,0.10749912033552764,RSC,CA1,0
M05,0.016495344166594872,RSC,CA1,0
M01,-0.07387253743167455,RSC,CA1,1
M02,-0.027409595849698487,RSC,CA1,1
M03,-0.01184518306285326,RSC,CA1,1
M05,-0.047635167729554645,RSC,CA1,1
