row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,19,1.1734535821260312,1.478076511581915,-0.30462292945588376,0.8888888888888888,17
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,19,1.1734535821260312,0.7652023564068778,0.4082512257191534,0.1111111111111111,17
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,19,2.8476325400883966,3.1126304197417074,-0.2649978796533108,0.7222222222222222,17
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,19,2.8476325400883966,2.9115828753606188,-0.06395033527222216,0.4444444444444444,17
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,19,3.0883137173780177,2.8553872366100244,0.23292648076799338,0.3333333333333333,17
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,19,3.0883137173780177,2.0119108831475283,1.0764028342304894,0.1111111111111111,17
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,19,1.1734535821260312,0.6932120533541507,0.48024152877188053,0.05555555555555555,17
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,19,1.1734535821260312,1.3193838511565599,-0.14593026903052864,0.5555555555555556,17
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,19,0.6385553220897748,0.7324449195883401,-0.09388959749856529,0.7777777777777778,17
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,19,0.6385553220897748,0.7542400980312504,-0.11568477594147553,0.8333333333333334,17
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,19,1.9060504668903,2.292813770275841,-0.3867633033855411,0.9444444444444444,17
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,19,1.9060504668903,2.2967842722997407,-0.3907338054094407,0.9444444444444444,17
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,19,1.3288853652152282,1.4341879023900848,-0.1053025371748566,0.6111111111111112,17
13,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,19,1.3288853652152282,1.6092204964879036,-0.2803351312726754,0.9444444444444444,17
14,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,19,0.6385553220897748,0.7621252968070339,-0.12356997471725906,0.6666666666666666,17
15,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,19,0.6385553220897748,0.7364801738299068,-0.09792485174013199,0.6111111111111112,17
16,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,19,1.3510288768054912,1.6759759705048696,-0.32494709369937835,0.8888888888888888,17
17,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,19,1.3510288768054912,1.3051366877237376,0.04589218908175363,0.16666666666666666,17
18,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,19,2.1321735188915003,2.493072888915252,-0.3608993700237515,0.6666666666666666,17
19,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,19,2.1321735188915003,2.2915512399693116,-0.15937772107781134,0.3888888888888889,17
20,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,19,1.2653517763945086,1.362015995106363,-0.09666421871185449,0.5555555555555556,17
21,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,19,1.2653517763945086,1.596481651116501,-0.3311298747219924,0.8333333333333334,17
22,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,19,1.3510288768054912,1.8239586139729067,-0.4729297371674155,0.8888888888888888,17
23,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,19,1.3510288768054912,1.0515480732197868,0.2994808035857044,0.05555555555555555,17
