subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.1920446432696976,CA1,CA3,0
M02,-0.12359854880261939,CA1,CA3,0
M03,-0.05405583850739565,CA1,CA3,0
M05,0.02880343088219689,CA1,CA3,0
M01,-0.11166402817501675,CA1,CA3,1
M02,-0.06701139063889344,CA1,CA3,1
M03,-0.07333518530618854,CA1,CA3,1
M05,0.009073863313481756,CA1,CA3,1
M01,-0.10098337794335555,CA1,RSC,0
M02,-0.09793589154860316,CA1,RSC,0
M03,-0.10818105835067471,CA1,RSC,0
M05,-0.1172367318424152,CA1,RSC,0
M01,-0.04629502281505016,CA1,RSC,1
M02,-0.14878076112191052,CA1,RSC,1
M03,-0.057830712334697165,CA1,RSC,1
M05,-0.07383129491230037,CA1,RSC,1
M01,-0.06375129046952083,CA3,CA1,0
M02,-0.1922106903354689,CA3,CA1,0
M03,-0.02351064786161794,CA3,CA1,0
M05,0.02998457136442076,CA3,CA1,0
M01,-0.03489629342986095,CA3,CA1,1
M02,-0.145462726269498,CA3,CA1,1
M03,-0.045614684270217476,CA3,CA1,1
M05,-0.09982136535986569,CA3,CA1,1
M01,-0.1100006101691301,RSC,CA1,0
M02,-0.07143747586580754,RSC,CA1,0
M03,-0.002961124780782809,RSC,CA1,0
M05,-0.1033744638073204,RSC,CA1,0
M01,-0.019918213847616884,RSC,CA1,1
M02,-0.11111683370870201,RSC,CA1,1
M03,-0.04005383994401002,RSC,CA1,1
M05,-0.07277008682079833,RSC,CA1,1
