row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,19,0.7522722088888009,0.782475594964092,-0.03020338607529116,0.2777777777777778,17
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,19,0.7522722088888009,0.9110803215670176,-0.1588081126782167,0.9444444444444444,17
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,19,1.320572766540779,1.1900982515192222,0.13047451502155671,0.16666666666666666,17
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,19,1.320572766540779,1.5366502523631873,-0.21607748582240838,0.6666666666666666,17
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,19,1.52940987949021,1.404404399304215,0.125005480185995,0.1111111111111111,17
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,19,1.52940987949021,1.7822469128764191,-0.2528370333862091,0.7777777777777778,17
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,19,0.7522722088888009,0.7096822447461638,0.04258996414263705,0.2222222222222222,17
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,19,0.7522722088888009,0.7559340291530903,-0.003661820264289406,0.2777777777777778,17
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,19,1.216589442631432,1.5546795189491733,-0.33809007631774124,1.0,17
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,19,1.216589442631432,1.4179545185057487,-0.20136507587431662,0.9444444444444444,17
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,19,1.372864560959437,1.6991281763735742,-0.3262636154141372,0.8888888888888888,17
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,19,1.372864560959437,1.5383521000240112,-0.16548753906457425,0.7777777777777778,17
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,19,1.6657707150938008,1.5994354346483066,0.0663352804454942,0.3888888888888889,17
13,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,19,1.6657707150938008,1.7900871497827124,-0.12431643468891163,0.5555555555555556,17
14,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,19,1.216589442631432,1.1699639323864899,0.046625510244942214,0.2222222222222222,17
15,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,19,1.216589442631432,0.7507014012713188,0.4658880413601133,0.05555555555555555,17
16,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,19,1.429855732698868,1.3595159165310613,0.0703398161678066,0.2222222222222222,17
17,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,19,1.429855732698868,1.460504633839519,-0.030648901140650997,0.5,17
18,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,19,0.982353093911328,0.9412910068442771,0.041062087067050834,0.3888888888888889,17
19,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,19,0.982353093911328,0.9635488580112753,0.018804235900052646,0.4444444444444444,17
20,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,19,1.073054810492478,0.7961186449044042,0.27693616558807377,0.05555555555555555,17
21,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,19,1.073054810492478,0.9794462540525284,0.09360855643994959,0.05555555555555555,17
22,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,19,1.429855732698868,1.1224148941310552,0.3074408385678127,0.05555555555555555,17
23,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,19,1.429855732698868,1.5850847311978733,-0.1552289984990054,0.6666666666666666,17
24,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,19,1.2219388177546675,1.3447556438938029,-0.12281682613913536,0.5555555555555556,17
25,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,19,1.2219388177546675,1.3217613304765479,-0.09982251272188036,0.4444444444444444,17
26,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,19,1.0015519846223209,1.103516151654424,-0.1019641670321032,0.4444444444444444,17
27,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,19,1.0015519846223209,1.0994898882753625,-0.09793790365304167,0.5,17
28,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,19,1.5606359111371602,1.614282341877031,-0.05364643073987074,0.3333333333333333,17
29,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,19,1.5606359111371602,1.553106638896154,0.00752927224100608,0.2222222222222222,17
