subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.10905594684161768,CA1,CA3,0
M02,-0.24707240778086692,CA1,CA3,0
M03,0.08641146924078563,CA1,CA3,0
M05,-0.05653435824312314,CA1,CA3,0
M01,-0.10357021575912817,CA1,CA3,1
M02,-0.1489203866515838,CA1,CA3,1
M03,-0.10111592445517559,CA1,CA3,1
M05,0.05323428650994544,CA1,CA3,1
M01,0.006344424852811725,CA1,RSC,0
M02,-0.12514542249796057,CA1,RSC,0
M03,0.1124277676529665,CA1,RSC,0
M05,0.6154801224748895,CA1,RSC,0
M01,-0.059828786903354136,CA1,RSC,1
M02,-0.05020537622866006,CA1,RSC,1
M03,-0.07450965169593343,CA1,RSC,1
M05,-0.06027160023011008,CA1,RSC,1
M01,-0.18714915577674507,CA3,CA1,0
M02,-0.09233356815786103,CA3,CA1,0
M03,0.031173717872992474,CA3,CA1,0
M05,-0.11846483572901695,CA3,CA1,0
M01,-0.12931531270004853,CA3,CA1,1
M02,-0.03914557883012121,CA3,CA1,1
M03,-0.06051429012017506,CA3,CA1,1
M05,-0.031164608572739116,CA3,CA1,1
M01,-0.024756329794073606,RSC,CA1,0
M02,-0.10616005824749525,RSC,CA1,0
M03,0.16859345809759774,RSC,CA1,0
M05,0.5550693664495275,RSC,CA1,0
M01,-0.03846431929793098,RSC,CA1,1
M02,-0.12040550345946177,RSC,CA1,1
M03,0.027150321861192983,RSC,CA1,1
M05,-0.22234028131727906,RSC,CA1,1
