subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.023736941481592333,CA1,CA3,0
M02,0.01938277865391036,CA1,CA3,0
M03,0.0397666950843453,CA1,CA3,0
M05,0.033453493061326944,CA1,CA3,0
M01,-0.0671673503275429,CA1,CA3,1
M02,-0.04646452615348107,CA1,CA3,1
M03,-0.013107171535827855,CA1,CA3,1
M05,-0.04104271451169439,CA1,CA3,1
M01,0.029939268085604542,CA1,RSC,0
M02,-0.04020335389012347,CA1,RSC,0
M03,0.12298496181477692,CA1,RSC,0
M05,0.20780462506721709,CA1,RSC,0
M01,-0.014353200984027814,CA1,RSC,1
M02,0.007810617629255168,CA1,RSC,1
M03,0.010372266232480484,CA1,RSC,1
M05,-0.0700459012575918,CA1,RSC,1
M01,-0.02958194026465416,CA3,CA1,0
M02,0.01173033789122932,CA3,CA1,0
M03,0.019469552353247398,CA3,CA1,0
M05,0.04337305940979491,CA3,CA1,0
M01,-0.02489499330196554,CA3,CA1,1
M02,-0.06247630519032099,CA3,CA1,1
M03,-0.0021425071051319744,CA3,CA1,1
M05,-0.008146793620687376,CA3,CA1,1
M01,0.036473044523460785,RSC,CA1,0
M02,-0.004637662073430804,RSC,CA1,0
M03,0.05895421734867558,RSC,CA1,0
M05,0.15701478343456293,RSC,CA1,0
M01,-0.005892486898988719,RSC,CA1,1
M02,-0.006524664613433012,RSC,CA1,1
M03,-0.0026292271406412673,RSC,CA1,1
M05,-0.024266636046076817,RSC,CA1,1
