subject,file,region,block,direction,raw_fit_status,raw_midpoint,behavior_cv_r2,behavior_ridge_alpha,adjusted_fit_status,adjusted_midpoint_usable,adjusted_low,adjusted_amplitude,adjusted_midpoint,adjusted_scale,adjusted_r_squared,adjusted_constant_aic,adjusted_sigmoid_aic,adjusted_delta_aic_sigmoid_minus_constant,adjusted_early_five_mean,adjusted_late_five_mean,adjusted_late_minus_early,adjusted_early_identity_null_q95,adjusted_early_identity_null_p,adjusted_early_spatial_null_q95,adjusted_early_spatial_null_p,adjusted_monotonic_trend_rho,adjusted_monotonic_trend_p,adjusted_n_scores
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,detectable_transition,2.6299353210851417,-0.20771721953876643,1.0,detectable_transition,True,0.22215257624756327,0.2320019158877064,2.899579330402091,0.5000000000000647,0.5032987690877443,-144.98160036486112,-159.2748311469117,-14.293230782050586,0.35254733797040533,0.46343021791107014,0.11088287994066481,0.29819831018852716,0.0339321357285429,0.25818751460953093,0.0219560878243512,0.4812807881773397,0.00998003992015968,29
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,detectable_transition,8.847219407291785,-0.2282028868436008,1.0,detectable_transition,True,0.3315299049570094,0.1134411408763446,11.604301958611995,2.303359920575049,0.443504782036632,-154.2279059236387,-165.22471026311345,-10.99680433947475,0.3410303017202106,0.4266025398562828,0.08557223813607223,0.26137317964806384,0.0359281437125748,0.34009997212495685,0.0518962075848303,0.6039408866995073,0.001996007984031936,29
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,detectable_transition,9.846285775353168,0.7386042267937997,1.0,unresolved_nonmonotonic_or_weak,False,0.19984479951963344,0.06557365096774818,9.106747773686486,0.5000000005843894,0.20733706527426932,-146.28850550713133,-146.56214986647487,-0.27364435934353537,0.20130070835517913,0.24214511108283862,0.04084440272765949,0.282103274217779,0.1896207584830339,0.2793232584694654,0.1576846307385229,0.28327228327228327,0.07984031936127745,27
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,RtoL,unresolved_nonmonotonic_or_weak,1.0000000000000715,0.4404985973518848,1.0,unresolved_nonmonotonic_or_weak,False,0.29088844133546105,0.11698303958926705,21.707255370514595,0.5000000000003548,0.12337085118450108,-108.58969684569932,-106.14482031009764,2.4448765356016793,0.29668039802285384,0.3871346313582144,0.09045423333536057,0.34555866617853614,0.1117764471057884,0.37584241341486546,0.1776447105788423,0.28937728937728935,0.0658682634730539,27
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA3,1,LtoR,unresolved_nonmonotonic_or_weak,1.479136130766381,-0.033417152470822,1.0,unresolved_nonmonotonic_or_weak,False,-0.13323700880243602,0.3483106428765109,1.0000000000000002,3.2251089155356216,0.23648326218920357,-132.85879426804843,-134.68358099857892,-1.8247867305304908,0.1037332511128957,0.2797688325378648,0.17603558142496906,0.06332137015957859,0.0019960079840319,0.0731846411611434,0.0199600798403193,0.4876847290640393,0.005988023952095809,29
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA3,1,RtoL,unresolved_nonmonotonic_or_weak,2.059730348289272,-0.8013022777198655,1.0,unresolved_nonmonotonic_or_weak,False,-0.0950539031405205,0.2546621854956253,2.0211666683751415,0.5000000000000001,0.12503028148550377,-115.33395490747067,-113.2073689258966,2.126585981574067,0.09055836276004385,0.11067109226415636,0.02011272950411251,0.08379629296962882,0.029940119760479,0.10878176604628162,0.1197604790419161,0.21034482758620687,0.1277445109780439,29
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA3,2,LtoR,present_from_first_observed_traversals,1.011976631794132,-0.2286509367010443,1.0,present_from_first_observed_traversals,False,-0.1557306036638551,0.2550321220225819,1.0000000000000002,0.5000000000000043,0.10608878534340505,-137.69588499625996,-134.72390316879742,2.9719818274625425,0.06670837369659058,0.08914285995126112,0.022434486254670538,0.05863547996804916,0.0319361277445109,0.014470104314453065,0.0039920159680638,-0.023809523809523808,0.5748502994011976,27
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA3,2,RtoL,unresolved_nonmonotonic_or_weak,1.0000000000000002,-0.5378288684339865,1.0,unresolved_nonmonotonic_or_weak,False,0.058484715208315184,7.858720818510723e-17,1.000731006039873,29.999949617721644,-3.552713678800501e-15,-119.02807350585672,-113.02807350585664,6.000000000000085,0.06864963547454853,0.056326938329722506,-0.01232269714482602,0.11377955781051839,0.5089820359281437,0.0995202697457281,0.1596806387225549,-0.2643467643467643,0.9201596806387226,27
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,RSC,1,LtoR,detectable_transition,4.639420280493083,-0.20049796117084107,1.0,detectable_transition,True,-0.025362982212351774,0.19471759853022047,5.151044586707384,3.5198213241384915,0.5218239817813001,-156.8708580823697,-172.26637296672942,-15.395514884359727,0.045988888338824106,0.16044023483466247,0.11445134649583835,0.07297030926380657,0.18562874251497,0.046049996815601964,0.0518962075848303,0.5999999999999999,0.001996007984031936,29
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,RSC,1,RtoL,unresolved_nonmonotonic_or_weak,1.0000000032748413,-0.9496414723091338,1.0,unresolved_nonmonotonic_or_weak,False,-0.07265327676675734,0.3040274090484694,1.0000000000000109,6.45699636033447,0.2865559891661599,-141.91277957314702,-145.7046677457066,-3.791888172559567,0.10057200638357337,0.21258318268924542,0.11201117630567205,0.10726043763339095,0.0698602794411177,0.07692573644284866,0.0159680638722554,0.5408866995073891,0.001996007984031936,29
