row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,28,1.3125768337885653,1.2281724303265713,0.08440440346199396,0.1111111111111111,26
1,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,28,1.3125768337885653,1.3937366309661225,-0.08115979717755728,0.7037037037037037,26
2,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,28,0.9631371085335605,0.9594595907139079,0.0036775178196526426,0.25925925925925924,26
3,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,28,0.9631371085335605,1.0731039189999452,-0.10996681046638468,0.8148148148148148,26
4,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,28,0.8732542009408081,0.9949993651400788,-0.12174516419927073,0.9259259259259259,26
5,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,28,0.8732542009408081,0.9929751396019315,-0.11972093866112343,0.9259259259259259,26
6,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,28,1.3125768337885653,1.3787528768715018,-0.06617604308293656,0.6296296296296297,26
7,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,28,1.3125768337885653,1.398062248734693,-0.08548541494612771,0.7407407407407407,26
8,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,28,0.892075887455105,1.0254921397858818,-0.1334162523307768,0.9629629629629629,26
9,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,28,0.892075887455105,0.9459700280075811,-0.0538941405524761,0.3333333333333333,26
10,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,28,1.9628577977264254,2.011825654253959,-0.04896785652753355,0.37037037037037035,26
11,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,28,1.9628577977264254,1.8944420397269204,0.06841575799950506,0.2222222222222222,26
12,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,28,1.494748127253667,1.5891915160530432,-0.0944433887993763,0.48148148148148145,26
13,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,28,1.494748127253667,1.688728911543884,-0.19398078429021703,0.9259259259259259,26
14,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,28,0.892075887455105,0.978625895162428,-0.08655000770732302,0.7777777777777778,26
15,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,28,0.892075887455105,0.9487558620610699,-0.056679974605964856,0.6666666666666666,26
16,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,2,LtoR,CA3,CA1,forward,0,26,0.2451699839624633,0.18424881850196748,0.060921165460495835,0.08,24
17,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,2,LtoR,CA3,CA1,forward,1,26,0.2451699839624633,0.22655672929625748,0.018613254666205836,0.12,24
18,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,2,LtoR,CA1,CA3,reverse,0,26,1.2758540381788785,1.2118990623505843,0.06395497582829424,0.24,24
19,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,2,LtoR,CA1,CA3,reverse,1,26,1.2758540381788785,1.3103034249897016,-0.0344493868108231,0.72,24
20,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,2,LtoR,CA1,RSC,forward,0,26,1.2146614692926503,1.1363334853762521,0.07832798391639817,0.04,24
21,M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,2,LtoR,CA1,RSC,forward,1,26,1.2146614692926503,1.3338397889448241,-0.11917831965217385,0.68,24
