subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.022645169353940453,CA1,CA3,0
M02,0.08131864867324656,CA1,CA3,0
M03,-0.069915556090003,CA1,CA3,0
M01,0.016983185594340977,CA1,CA3,1
M02,-0.05677464290954892,CA1,CA3,1
M03,-0.0997125945734259,CA1,CA3,1
M01,-0.008057702441489067,CA1,RSC,0
M02,-0.060732639480762796,CA1,RSC,0
M03,0.13022374443093898,CA1,RSC,0
M01,-0.11944962915664864,CA1,RSC,1
M02,-0.07966400480697677,CA1,RSC,1
M03,-0.10566042659942598,CA1,RSC,1
M01,0.027182776304679468,CA3,CA1,0
M02,0.046268073116906505,CA3,CA1,0
M03,-0.1500851002176778,CA3,CA1,0
M01,-0.04352882940500605,CA3,CA1,1
M02,-0.05160839550100059,CA3,CA1,1
M03,-0.15642192928574583,CA3,CA1,1
M01,-0.052607135937991795,RSC,CA1,0
M02,-0.07340174514089118,RSC,CA1,0
M03,-0.03151143062073028,RSC,CA1,0
M01,-0.04296186750840096,RSC,CA1,1
M02,-0.03451937649799362,RSC,CA1,1
M03,-0.14809126513545084,RSC,CA1,1
