subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,1,2,0.19574582231511506,-0.01439812692714455,0.3814450632027507,False,142,21,40.838091973856535,13.122926789732555,4.589916349827657,0.21330724070450097
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,2,4,0.17377248161439357,0.015487576346687938,0.2966712964910552,False,142,21,22.350213673469625,10.925654770422428,6.638864049541327,0.4642857142857143
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,3,6,0.15542361186213866,0.018902770433844668,0.3109338363353154,False,142,21,34.77336000000014,11.983836564292123,6.554601646184665,0.2655172413793103
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,4,8,0.14786974441832038,-0.006168834142092836,0.29886161678438206,False,142,21,24.26159000000007,11.305508535156612,9.788434675680449,0.4029605263157895
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,5,10,0.25193880119159284,0.052157720590403855,0.4163621269612191,False,142,21,64.35075933333337,10.261563974631933,7.1012158480180645,0.18198757763975154
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,6,12,0.24563814994066568,0.05604092185035615,0.3997552219816749,False,142,21,17.906628000000637,15.851426763823481,11.64370899792085,0.39198218262806234
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,7,14,0.265642133158218,0.10263574572488615,0.44031603758583654,False,142,21,17.280438639456406,14.188129229517903,8.218191134127025,0.4652777777777778
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,8,16,0.25850060055061536,0.11522877717800854,0.4176478289217131,False,142,21,11.274157523809663,20.116990678288616,14.151812761133694,0.46996466431095407
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,9,18,0.292088254455981,0.13383645548237932,0.4789374193490677,False,142,21,29.177119999999377,14.893600964204794,6.035220257037565,0.27945205479452057
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,10,20,0.3004234291842257,0.126116952904808,0.40378520692959585,False,142,21,18.546941999999945,15.631304443025696,12.807831659492479,0.3728448275862069
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,11,22,0.28521602803152507,0.13458015910410306,0.4427301939925491,False,142,21,15.907928000000538,22.592301813434982,23.89223670890253,0.3015075376884422
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,12,24,0.2559254771219788,0.07956573281731462,0.4948127566511971,False,142,21,31.878746862745174,8.314238109250068,6.173646280050791,0.47368421052631576
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,13,26,0.31747694911786895,0.14586443988638587,0.4748884598198731,False,142,21,11.78279285714234,21.8303075110207,20.75080470420224,0.423728813559322
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,14,28,0.30166250225538305,0.11788526413319099,0.4713568011651367,False,142,21,18.968040627451046,18.340299134861304,9.985796358408997,0.3368421052631579
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,15,30,0.15120159713985196,-0.013326189598185626,0.3252740797719156,False,142,21,28.6982146666669,11.224393900974988,7.459802616624986,0.3607242339832869
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,16,32,0.2468836444588155,0.09745322727152475,0.4127201451459689,False,142,21,19.98953560784321,13.504816119590673,8.179001728745575,0.47904191616766467
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,17,34,0.2216306619030858,0.10308252877087898,0.38337073047414566,False,142,21,15.428406666667797,14.975660408515955,12.64352434058191,0.5
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,18,36,0.25349928865774074,0.07919809607334623,0.3866932291820567,False,142,21,25.020762666666997,11.13835170687468,7.227796873910991,0.4003189792663477
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,19,38,0.29168841311195115,0.1596324654399495,0.40963783445942387,False,142,21,12.670390000000225,18.467596040072806,13.13247235824434,0.49842271293375395
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,20,40,0.29497811252687617,0.11895455416548385,0.4805937269561784,False,142,21,11.27103200000056,20.678303850311053,15.664910596943193,0.4840989399293286
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,21,42,0.24140807650283255,0.05605547958056223,0.40521264364583703,False,142,21,25.661498666666375,14.096362584138857,8.49605858455196,0.3302180685358255
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,22,44,0.2633289804380834,0.06888612753689743,0.45985118372973277,False,142,21,13.030851333333885,16.81550592590764,13.101517434502416,0.5137614678899083
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,23,46,0.32389490433843626,0.13823237820614495,0.49669935506772256,False,142,21,21.904385333334176,14.867556681524977,11.163735196562563,0.3570127504553734
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,24,48,0.29613477023864465,0.16641435470584665,0.45297092427946384,False,142,21,54.558583333334354,13.171272489633338,10.595072255999185,0.5157509157509158
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,25,50,0.24172686419489267,0.024093151123585267,0.4221571842158301,False,142,21,47.22004081632713,7.52857687869973,5.98048725379155,0.26057529610829105
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,26,52,0.2438863915844268,0.021035968486774956,0.3864331666439238,True,142,21,53.23276230065312,6.959163873748461,6.4092009940590655,0.3178061607813674
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,27,54,0.2918360156658057,0.0567726318197044,0.4613657124682257,True,142,21,28.419049333333533,11.239031478908036,5.478516816080385,0.369901547116737
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,28,56,0.3178220726187636,0.14599361464916696,0.4425270436590137,True,142,21,26.74624293877605,12.65470710624882,7.889666103824743,0.3492537313432836
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,29,58,0.309985480951337,0.14534877436136084,0.4405750651560014,True,142,21,42.147690666666676,10.078252243053704,5.978482946433624,0.32701421800947866
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,30,60,0.34521338603719204,0.16203842047903064,0.507037281073757,True,142,21,21.303820000000087,12.479542564955615,8.595792488411268,0.47752808988764045
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,31,62,0.24342859801672617,0.042712916210397626,0.3971405158267562,True,142,21,19.75060196078448,11.912169642795687,8.231829174083568,0.5737373737373738
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,32,64,0.3833738579681444,0.2396389892744594,0.5139054720468436,True,142,21,46.205359333333945,14.96390446892619,12.586551864231378,0.3889369057908384
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,33,66,0.32696320523857747,0.13071970488403575,0.492715631432127,True,142,21,10.311226666667608,16.439087375205037,11.273151450671296,0.6447876447876448
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,34,68,0.2408523522650407,0.11354700510032575,0.3732620688589909,True,142,21,19.944843333332756,11.947155363960503,7.484121224101845,0.46292585170340683
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,35,70,0.32077647278817256,0.15344743878784955,0.5163288278260373,True,142,21,18.940723129251637,13.707166795502582,10.438437443401147,0.4863157894736842
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,1,1,0.14229583793535586,-0.02594508649711714,0.30052258772837387,False,142,21,25.934060967319965,9.430708133768192,8.719529719521589,0.46533127889060094
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,2,3,0.09581755713496574,-0.07201836956233056,0.3081007965898029,False,142,21,31.506002026143506,9.97461046897223,7.177224398022482,0.3523447401774398
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,3,5,0.16689949000752974,0.012665679953783614,0.33400483314409135,False,142,21,33.08594965986413,8.172552323963155,7.221998249969417,0.4106280193236715
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,4,7,0.19383296356038737,0.011575715839098185,0.3908326490325572,False,142,21,13.309909999999945,13.128225012728965,10.458213008228718,0.6586826347305389
