file,region,block,direction,n_cells,n_traversals,late_traversals,occupied_bin_fraction,split_half_r,spearman_brown_reliability,status
sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,142,35,10,0.875,0.3655667297383588,0.5354066143781945,ok
sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,142,36,10,0.875,0.38566789260991285,0.5566527082957884,ok
sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,LtoR,21,35,10,0.875,0.2162500321383162,0.35560127675083747,ok
sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,RtoL,21,36,10,0.875,0.047582894111404025,0.09084320559045683,ok
sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,LtoR,116,35,10,0.875,0.06487103855780359,0.12183830005492678,ok
sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,RtoL,116,36,10,0.875,0.11718808497473686,0.20979114716818134,ok
sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,LtoR,85,40,10,0.875,0.4166214291573477,0.5881902116999143,ok
sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,RtoL,85,40,10,0.875,0.45616612567304266,0.6265303355579732,ok
sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,LtoR,27,40,10,0.875,0.4318216686689777,0.6031780048005551,ok
sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,RtoL,27,40,10,0.875,0.2706994507601912,0.4260636936582388,ok
sub-M01_ses-20240313T100000_behavior+ecephys.nwb,RSC,1,LtoR,31,40,10,0.875,0.3154824994349424,0.47964530059572213,ok
sub-M01_ses-20240313T100000_behavior+ecephys.nwb,RSC,1,RtoL,31,40,10,0.875,0.5015933662851682,0.6680814893662901,ok
sub-M01_ses-20240314T100000_behavior+ecephys.nwb,CA1,1,LtoR,67,58,10,0.875,0.545589151303867,0.7059950580574471,ok
sub-M01_ses-20240314T100000_behavior+ecephys.nwb,CA1,1,RtoL,67,58,10,0.875,0.6998020718669564,0.8233924213286051,ok
sub-M01_ses-20240314T100000_behavior+ecephys.nwb,CA3,1,LtoR,28,58,10,0.875,0.2621954327094915,0.4154593273193039,ok
