subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,0.04079952296011102,CA1,CA3,0
M02,-0.00034982189474275227,CA1,CA3,0
M03,0.01438011458590771,CA1,CA3,0
M05,0.016871679752201996,CA1,CA3,0
M01,-0.05091243247511512,CA1,CA3,1
M02,-0.032129720174273624,CA1,CA3,1
M03,-0.00861752656382092,CA1,CA3,1
M05,-0.03619153845155426,CA1,CA3,1
M01,-0.0044894270780787005,CA1,RSC,0
M02,-0.013218200917130052,CA1,RSC,0
M03,0.14434327589497842,CA1,RSC,0
M05,0.19265988689051072,CA1,RSC,0
M01,-0.018315706230450368,CA1,RSC,1
M02,-0.021633110775860387,CA1,RSC,1
M03,0.009410529052307853,CA1,RSC,1
M05,0.017396929012790274,CA1,RSC,1
M01,0.026646117665186708,CA3,CA1,0
M02,0.005182455707553366,CA3,CA1,0
M03,0.0028114245872059296,CA3,CA1,0
M05,0.03892633962102421,CA3,CA1,0
M01,-0.02419401926413428,CA3,CA1,1
M02,-0.03940136102059477,CA3,CA1,1
M03,-0.004421211260063576,CA3,CA1,1
M05,-0.025426236818531567,CA3,CA1,1
M01,-0.013447489232767895,RSC,CA1,0
M02,-0.0030805046501148348,RSC,CA1,0
M03,0.05147708639904334,RSC,CA1,0
M05,0.06912332794993725,RSC,CA1,0
M01,-0.014451282432052376,RSC,CA1,1
M02,-0.025354317897592182,RSC,CA1,1
M03,-0.0037489950274190165,RSC,CA1,1
M05,-0.028136469708470113,RSC,CA1,1
