subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.06366969360134228,CA1,CA3,0
M02,-0.05600696099363256,CA1,CA3,0
M03,-0.002168876739872261,CA1,CA3,0
M05,0.05456541797990655,CA1,CA3,0
M01,-0.06541594791700245,CA1,CA3,1
M02,-0.04262293894576841,CA1,CA3,1
M03,-0.008239653823154947,CA1,CA3,1
M05,-0.012565811357198864,CA1,CA3,1
M01,-0.02155186730219122,CA1,RSC,0
M02,-0.0025782894763234365,CA1,RSC,0
M03,0.14237812318978016,CA1,RSC,0
M05,0.00518689438541553,CA1,RSC,0
M01,-0.06874535683787641,CA1,RSC,1
M02,-0.07200011084226182,CA1,RSC,1
M03,0.10353792675648016,CA1,RSC,1
M05,0.017278844292909268,CA1,RSC,1
M01,-0.0821572648948673,CA3,CA1,0
M02,-0.04581810977439407,CA3,CA1,0
M03,-0.002962995214152067,CA3,CA1,0
M05,0.05626159344521431,CA3,CA1,0
M01,-0.05058872434028877,CA3,CA1,1
M02,-0.0443817665697559,CA3,CA1,1
M03,-0.006407579133147649,CA3,CA1,1
M05,-0.03838430219034983,CA3,CA1,1
M01,0.001365147699044611,RSC,CA1,0
M02,0.009988154716198294,RSC,CA1,0
M03,0.05836709873420187,RSC,CA1,0
M05,0.010424552373795526,RSC,CA1,0
M01,-0.041914614753048696,RSC,CA1,1
M02,-0.04516966741007977,RSC,CA1,1
M03,-0.012160146198828214,RSC,CA1,1
M05,-0.0488816680485758,RSC,CA1,1
