row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,34,0.5901070063246285,0.4754051152491859,0.11470189107544265,0.06060606060606061,32
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,34,0.5901070063246285,0.6342471363829509,-0.0441401300583224,0.696969696969697,32
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,34,1.796554475403082,1.5502041558363435,0.24635031956673847,0.12121212121212122,32
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,34,1.796554475403082,1.831397596556235,-0.03484312115315302,0.3939393939393939,32
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,34,1.150710784943976,1.1771218024276644,-0.02641101748368846,0.5454545454545454,32
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,34,1.150710784943976,1.1688569078845918,-0.018146122940615905,0.5454545454545454,32
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,34,0.5901070063246285,0.5811137352225693,0.008993271102059275,0.24242424242424243,32
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,34,0.5901070063246285,0.5037333037717743,0.08637370255285426,0.12121212121212122,32
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,35,0.6474507241235852,0.6412488088341167,0.0062019152894684515,0.2647058823529412,33
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,35,0.6474507241235852,0.6816236848003115,-0.03417296067672637,0.5,33
