row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,24,0.9733001369740378,0.8649952942535619,0.10830484272047591,0.17391304347826086,22
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,24,0.9733001369740378,0.9317470636418411,0.04155307333219671,0.30434782608695654,22
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,24,1.9740146819165776,1.996122687981633,-0.022108006065055363,0.30434782608695654,22
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,24,1.9740146819165776,2.2324420117000754,-0.2584273297834978,0.6521739130434783,22
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,24,1.33189173956544,1.346178269136079,-0.01428652957063914,0.4782608695652174,22
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,24,1.33189173956544,1.3751068207239259,-0.043215081158485935,0.43478260869565216,22
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,24,0.9733001369740378,0.9918442238527501,-0.01854408687871223,0.4782608695652174,22
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,24,0.9733001369740378,0.9257823280797132,0.047517808894324665,0.2608695652173913,22
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,25,0.6807624552186776,0.7186564620865176,-0.03789400686783995,0.2916666666666667,23
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,25,0.6807624552186776,0.7290151566181607,-0.04825270139948312,0.2916666666666667,23
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,25,1.2179877592078636,1.3346840084320937,-0.11669624922423005,0.7083333333333334,23
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,25,1.2179877592078636,1.3391108007101342,-0.1211230415022706,0.75,23
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,25,1.8102574562268743,1.9354549588319485,-0.12519750260507423,0.7083333333333334,23
13,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,25,1.8102574562268743,1.9983463278929923,-0.18808887166611798,0.9166666666666666,23
14,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,25,0.6807624552186776,0.7511025075997624,-0.07034005238108476,0.6666666666666666,23
15,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,25,0.6807624552186776,0.7665664325725443,-0.08580397735386669,0.7083333333333334,23
16,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,29,1.3502113071092692,1.1448132046939141,0.20539810241535505,0.07142857142857142,27
17,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,29,1.3502113071092692,1.3995077952900916,-0.04929648818082244,0.42857142857142855,27
18,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,29,0.7237638266251153,0.6260266175465714,0.09773720907854389,0.10714285714285714,27
19,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,29,0.7237638266251153,0.7454307447859547,-0.021666918160839432,0.2857142857142857,27
20,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,29,0.6312446057472275,0.4638096082713038,0.16743499747592372,0.03571428571428571,27
21,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,29,0.6312446057472275,0.672963702048544,-0.04171909630131654,0.6785714285714286,27
22,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,29,1.3502113071092692,1.1994581640527646,0.15075314305650456,0.03571428571428571,27
23,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,29,1.3502113071092692,1.357795243792346,-0.007583936683076775,0.4642857142857143,27
24,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,29,1.3362162149871328,1.6483456954791629,-0.31212948049203004,1.0,27
25,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,29,1.3362162149871328,1.4569723197104485,-0.12075610472331566,0.7142857142857143,27
26,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,29,1.6503412011098917,1.8280808511320565,-0.17773965002216485,0.9642857142857143,27
27,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,29,1.6503412011098917,1.5701407073927993,0.08020049371709237,0.07142857142857142,27
28,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,29,0.6554136438369329,0.6573206385358562,-0.0019069946989233033,0.25,27
29,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,29,0.6554136438369329,0.5854243450671631,0.06998929876976978,0.07142857142857142,27
30,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,29,1.3362162149871328,1.3652934867814428,-0.029077271794309967,0.25,27
31,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,29,1.3362162149871328,1.304796292012938,0.031419922974194936,0.21428571428571427,27
32,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,47,6.452432606167878,5.841947600290159,0.6104850058777185,0.08695652173913043,45
33,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,47,6.452432606167878,6.479455397607506,-0.027022791439628158,0.43478260869565216,45
34,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,47,1.947083755464327,0.8406537872580879,1.106429968206239,0.021739130434782608,45
35,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,47,1.947083755464327,1.1347046251787136,0.8123791302856134,0.021739130434782608,45
36,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,47,1.0484405813184972,0.634019253483936,0.4144213278345612,0.021739130434782608,45
37,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,47,1.0484405813184972,1.649418276145122,-0.6009776948266248,1.0,45
38,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,47,6.452432606167878,5.513393729277793,0.939038876890085,0.10869565217391304,45
39,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,47,6.452432606167878,7.419755399054352,-0.967322792886474,1.0,45
40,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,47,0.5060514994473696,0.46801193650731104,0.03803956294005856,0.08695652173913043,45
41,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,47,0.5060514994473696,0.49915994294737503,0.006891556499994567,0.21739130434782608,45
42,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,47,1.0398735276351756,0.9754835737457852,0.0643899538893904,0.08695652173913043,45
43,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,47,1.0398735276351756,1.0826414647996223,-0.04276793716444671,0.7608695652173914,45
44,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,47,1.1251592434996645,1.1274322442428069,-0.002273000743142406,0.1956521739130435,45
45,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,47,1.1251592434996645,1.141985843397795,-0.016826599898130512,0.21739130434782608,45
46,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,47,0.5060514994473696,0.5134378795666512,-0.00738638011928161,0.17391304347826086,45
47,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,47,0.5060514994473696,0.5338513695938206,-0.027799870146451022,0.8695652173913043,45
48,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,25,1.2318810532488131,1.3275347485904272,-0.09565369534161405,0.5416666666666666,23
49,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,25,1.2318810532488131,1.2941944839266946,-0.06231343067788142,0.375,23
50,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,25,0.9631715802354128,1.0240825723437104,-0.060910992108297535,0.3333333333333333,23
51,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,25,0.9631715802354128,0.9314214917520964,0.0317500884833164,0.08333333333333333,23
52,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,25,1.5299601195098385,1.6889198569071378,-0.1589597373972993,0.6666666666666666,23
53,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,25,1.5299601195098385,1.625218532320112,-0.09525841281027358,0.4583333333333333,23
54,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,25,1.2318810532488131,1.385943492892161,-0.15406243964334787,0.9166666666666666,23
55,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,25,1.2318810532488131,1.2520711496766443,-0.020190096427831206,0.4166666666666667,23
56,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,24,1.2914596988855123,1.4564123963591566,-0.16495269747364438,0.6521739130434783,22
57,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,24,1.2914596988855123,1.3288751978133613,-0.03741549892784901,0.2608695652173913,22
58,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,24,1.882432086697083,1.9008226563180972,-0.018390569621014263,0.21739130434782608,22
59,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,24,1.882432086697083,2.134980455557464,-0.2525483688603809,0.9130434782608695,22
60,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,24,1.2903788942953083,1.3758736625254355,-0.08549476823012725,0.34782608695652173,22
61,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,24,1.2903788942953083,1.409373608643549,-0.11899471434824083,0.5652173913043478,22
62,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,24,1.2914596988855123,1.3814783401810675,-0.09001864129555526,0.4782608695652174,22
63,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,24,1.2914596988855123,1.4056841425466438,-0.11422444366113149,0.6521739130434783,22
64,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,43,0.15756665589026,0.17225210598702628,-0.014685450096766278,1.0,41
