row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,34,0.6235413888728634,0.6416330953167814,-0.018091706443918,0.3333333333333333,32
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,34,0.6235413888728634,0.6042070540103712,0.019334334862492142,0.18181818181818182,32
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,34,1.4263506628548448,1.459112733513907,-0.032762070659062115,0.36363636363636365,32
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,34,1.4263506628548448,1.5068181832278842,-0.08046752037303939,0.5454545454545454,32
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,34,1.1449630692806452,1.0855020151765966,0.05946105410404856,0.12121212121212122,32
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,34,1.1449630692806452,1.1049945173421116,0.03996855193853355,0.18181818181818182,32
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,34,0.6235413888728634,0.5889086593214269,0.03463272955143648,0.18181818181818182,32
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,34,0.6235413888728634,0.6016378744696171,0.021903514403246227,0.21212121212121213,32
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,35,0.5770451078082607,0.579363658245678,-0.002318550437417355,0.2647058823529412,33
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,35,0.5770451078082607,0.6062904599618638,-0.029245352153603132,0.6470588235294118,33
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,35,1.3289781210713787,1.3476728017970576,-0.018694680725678925,0.38235294117647056,33
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,35,1.3289781210713787,1.4416508006621862,-0.11267267959080751,0.9705882352941176,33
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,35,1.2444279898668578,1.1420601209133583,0.10236786895349947,0.11764705882352941,33
