subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.031999566744977614,CA1,CA3,0
M02,-0.02557829744148865,CA1,CA3,0
M03,0.05624793707046136,CA1,CA3,0
M05,-0.016938060868363303,CA1,CA3,0
M01,-0.08066018886464332,CA1,CA3,1
M02,-0.048114455452224814,CA1,CA3,1
M03,-0.012449522156465637,CA1,CA3,1
M05,-0.046805741021814506,CA1,CA3,1
M01,-0.0024055221617832467,CA1,RSC,0
M02,-0.040256541271861956,CA1,RSC,0
M03,0.10326451479038337,CA1,RSC,0
M05,0.26486498043364715,CA1,RSC,0
M01,-0.02066784089780327,CA1,RSC,1
M02,-0.003117880225135039,CA1,RSC,1
M03,0.007627683385707018,CA1,RSC,1
M05,-0.04740587976472321,CA1,RSC,1
M01,-0.03651871926174205,CA3,CA1,0
M02,-0.016471914892018463,CA3,CA1,0
M03,0.017700058853335504,CA3,CA1,0
M05,-0.017494377622586987,CA3,CA1,0
M01,-0.030445144794221668,CA3,CA1,1
M02,-0.02770576758667867,CA3,CA1,1
M03,-0.007483350680374298,CA3,CA1,1
M05,-0.018716011243470776,CA3,CA1,1
M01,-0.01352311996909425,RSC,CA1,0
M02,-0.01621895298430487,RSC,CA1,0
M03,0.04548322397559079,RSC,CA1,0
M05,0.20053603233322626,RSC,CA1,0
M01,-0.043067788043340216,RSC,CA1,1
M02,-0.009981654081148567,RSC,CA1,1
M03,-0.00245772322351806,RSC,CA1,1
M05,-0.01534873425623512,RSC,CA1,1
