subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.04388199056456582,CA1,CA3,0
M02,-0.03833876192168645,CA1,CA3,0
M03,0.021365091856892976,CA1,CA3,0
M05,-0.0360226226351919,CA1,CA3,0
M01,-0.07499023733963961,CA1,CA3,1
M02,-0.012246623020784775,CA1,CA3,1
M03,-0.00855338864764782,CA1,CA3,1
M05,-0.009589943609400964,CA1,CA3,1
M01,-0.02414825657869729,CA1,RSC,0
M02,-0.05242062057022712,CA1,RSC,0
M03,0.048776818372280845,CA1,RSC,0
M05,0.050495359539124096,CA1,RSC,0
M01,0.00879048845860464,CA1,RSC,1
M02,-0.05574325440058525,CA1,RSC,1
M03,0.016183304830663187,CA1,RSC,1
M05,0.04953868393516858,CA1,RSC,1
M01,-0.06470270363261887,CA3,CA1,0
M02,-0.01873559117590129,CA3,CA1,0
M03,0.022801598290143596,CA3,CA1,0
M05,-0.02830020594167068,CA3,CA1,0
M01,-0.034420385333825854,CA3,CA1,1
M02,-0.034976371803513984,CA3,CA1,1
M03,-0.003880820237081181,CA3,CA1,1
M05,-0.04642604357772992,CA3,CA1,1
M01,-0.04472747502450897,RSC,CA1,0
M02,-0.0466474267409997,RSC,CA1,0
M03,0.006536188974223964,RSC,CA1,0
M05,-0.0022609441378149686,RSC,CA1,0
M01,-0.08930578687655821,RSC,CA1,1
M02,-0.01881483288976485,RSC,CA1,1
M03,-0.005035439995664692,RSC,CA1,1
M05,-0.0373466633540494,RSC,CA1,1
