subject,file,region,block,direction,n_cells_available,n_cells_equalized,fit_status,midpoint_usable,low,amplitude,midpoint,scale,r_squared,constant_aic,sigmoid_aic,delta_aic_sigmoid_minus_constant,early_five_mean,late_five_mean,late_minus_early,early_identity_null_q95,early_identity_null_p,early_spatial_null_q95,early_spatial_null_p,monotonic_trend_rho,monotonic_trend_p,n_scores
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,142,21,unresolved_nonmonotonic_or_weak,False,0.04074906318717331,0.27647863384144733,1.0000000000000002,11.451431942661731,0.418086082635138,-196.55896935989736,-209.50911562732767,-12.950146267430313,0.17145432200202212,0.3066435428000225,0.13518922079800036,0.11635865867530906,0.009950248756218905,0.07141449209700819,0.004975124378109453,0.6162464985994398,0.004975124378109453,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,142,21,unresolved_nonmonotonic_or_weak,False,-0.02647086655274079,0.32429955943662087,1.0000000000001719,16.24222466689421,0.5663191459697141,-211.30787186945918,-235.38394136111737,-24.07606949165819,0.13244220551806776,0.25667528752203184,0.12423308200396407,0.0737391738627551,0.01990049751243781,0.117638713755284,0.03482587064676617,0.7472329472329473,0.004975124378109453,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,LtoR,21,21,unresolved_nonmonotonic_or_weak,False,0.051523545932428194,0.07119051973324808,27.414888594035833,0.5000000000000001,0.19448771734937143,-189.0683752963201,-190.6380642763684,-1.5696889800482836,0.038385539524203295,0.12523564131075088,0.08685010178654759,0.05785373736003232,0.21393034825870647,0.048391491855949535,0.11940298507462686,0.39495798319327735,0.01990049751243781,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,RtoL,21,21,unresolved_nonmonotonic_or_weak,False,0.059202147573800594,1.3155867171924484e-11,28.546616412189277,29.968966853012578,-4.5425885275562905e-12,-195.93878463428146,-189.93878463411795,6.00000000016351,0.07135893215794382,0.07182517272842961,0.00046624057048579026,0.08506021300798995,0.12935323383084577,0.06426554217226027,0.024875621890547265,-0.10913770913770915,0.7114427860696517,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,LtoR,116,21,unresolved_nonmonotonic_or_weak,False,0.049667176155398104,0.09597410502562655,34.99999999999999,3.1013881697724965,0.1542551888994349,-241.03850507114555,-240.90232130228662,0.13618376885892758,0.03724313692165942,0.07548040497336059,0.03823726805170117,0.04918522174657762,0.14925373134328357,0.04990386972743746,0.11442786069651742,0.395798319327731,0.009950248756218905,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,RtoL,116,21,unresolved_nonmonotonic_or_weak,False,-0.011164304768276899,0.16913234994845458,35.16549989049116,29.999999999999996,0.2789444551301743,-262.5809752274279,-268.3543830437918,-5.773407816363886,0.022196313394784187,0.0674923357406347,0.04529602234585052,0.05449611196853884,0.34328358208955223,0.05014803442649698,0.21393034825870647,0.5250965250965252,0.004975124378109453,36
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,LtoR,85,27,unresolved_nonmonotonic_or_weak,False,0.043985276481433,0.3732833811200736,1.0000000000000018,29.999999999999584,0.1455464402573854,-196.48951669185823,-196.78124172290947,-0.2917250310512429,0.21301181830189142,0.3472107015631153,0.13419888326122387,0.09427649101919704,0.004975124378109453,0.12184463154206489,0.009950248756218905,0.38048780487804884,0.01990049751243781,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,RtoL,85,27,present_from_first_observed_traversals,False,0.3134281867038134,0.04077647025169861,12.059688620156642,0.5000000000000004,0.13239204117769232,-238.90479261677217,-238.58540568453242,0.3193869322397518,0.3274868799911075,0.3289608152155892,0.0014739352244816928,0.1590419617543871,0.004975124378109453,0.13130924074834,0.004975124378109453,0.23189493433395875,0.08955223880597014,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,LtoR,27,27,unresolved_nonmonotonic_or_weak,False,-0.20804123348757006,0.5444198600531984,1.0000000000000002,0.9882593236227054,0.2902666839212238,-191.0175151085716,-198.73215473509035,-7.7146396265187605,0.23190042236004746,0.35697210502417953,0.12507168266413207,0.12010249127510565,0.004975124378109453,0.09988672794496714,0.004975124378109453,0.30581613508442784,0.029850746268656716,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,RtoL,27,27,present_from_first_observed_traversals,False,0.2381283693967828,0.03195470202300435,14.965267064505438,0.5000007750018012,0.04410554938269862,-209.49820824231773,-205.30251941552373,4.195688826793997,0.2617848509268429,0.23152288295447104,-0.03026196797237185,0.11601012968102747,0.004975124378109453,0.11654527218857347,0.004975124378109453,0.06210131332082553,0.3880597014925373,40
