row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,34,0.6744912594852541,0.7561897667579357,-0.08169850727268158,0.9696969696969697,32
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,34,0.6744912594852541,0.6324831346807664,0.04200812480448768,0.12121212121212122,32
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,34,1.34698503759846,1.4552450370996663,-0.10825999950120635,0.7878787878787878,32
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,34,1.34698503759846,1.418092677004424,-0.07110763940596398,0.45454545454545453,32
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,34,1.1264504203999188,0.8730543703557749,0.2533960500441439,0.06060606060606061,32
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,34,1.1264504203999188,0.9745703798554798,0.15188004054443904,0.09090909090909091,32
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,34,0.6744912594852541,0.4801980243916409,0.19429323509361324,0.06060606060606061,32
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,34,0.6744912594852541,0.6746122281467027,-0.00012096866144861718,0.36363636363636365,32
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,35,0.5694983872842736,0.5454302535276616,0.024068133756611987,0.17647058823529413,33
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,35,0.5694983872842736,0.5858842578194713,-0.01638587053519769,0.4117647058823529,33
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,35,1.1574640683469248,1.126041348044898,0.03142272030202675,0.11764705882352941,33
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,35,1.1574640683469248,1.2456666167151076,-0.08820254836818275,0.7941176470588235,33
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,35,1.4620106703749407,1.4911460530191123,-0.029135382644171592,0.47058823529411764,33
13,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,35,1.4620106703749407,1.5329039549446357,-0.07089328456969501,0.5588235294117647,33
14,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,35,0.5694983872842736,0.5693497159898689,0.00014867129440465643,0.11764705882352941,33
15,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,35,0.5694983872842736,0.55207738193788,0.01742100534639357,0.058823529411764705,33
16,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,39,1.1688570577281214,1.2190403255709847,-0.05018326784286331,0.6842105263157895,37
17,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,39,1.1688570577281214,1.3364816503305688,-0.16762459260244733,0.9473684210526315,37
18,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,39,1.0170090176778017,1.0711609660760375,-0.05415194839823578,0.7368421052631579,37
19,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,39,1.0170090176778017,1.1438558812619546,-0.12684686358415287,0.9473684210526315,37
