subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.05455385747654684,CA1,CA3,0
M02,-0.03350504564063628,CA1,CA3,0
M03,0.025136091657143228,CA1,CA3,0
M05,-0.0033045957210621757,CA1,CA3,0
M01,-0.03977790381215296,CA1,CA3,1
M02,-0.0005337791772951905,CA1,CA3,1
M03,-0.02245263816030535,CA1,CA3,1
M05,-0.04496090591579721,CA1,CA3,1
M01,0.02406387253324621,CA1,RSC,0
M02,-0.03574401395769122,CA1,RSC,0
M03,0.14410603832637817,CA1,RSC,0
M05,0.21612276177215506,CA1,RSC,0
M01,-0.01263796187674765,CA1,RSC,1
M02,-0.014568967721765302,CA1,RSC,1
M03,-0.00829443766735835,CA1,RSC,1
M05,-0.03541059397756807,CA1,RSC,1
M01,-0.04383269566088477,CA3,CA1,0
M02,-0.011096940251038606,CA3,CA1,0
M03,0.009787028341215594,CA3,CA1,0
M05,0.02584984343363772,CA3,CA1,0
M01,-0.012492102960460105,CA3,CA1,1
M02,-0.023957636409546262,CA3,CA1,1
M03,-0.00877843016207018,CA3,CA1,1
M05,-0.04205553536909601,CA3,CA1,1
M01,0.029171717417450782,RSC,CA1,0
M02,-0.0208645449235772,RSC,CA1,0
M03,0.06410754946392833,RSC,CA1,0
M05,0.1737032018066927,RSC,CA1,0
M01,-0.009197203165554058,RSC,CA1,1
M02,-0.01436911529779289,RSC,CA1,1
M03,-0.004672520517753569,RSC,CA1,1
M05,-0.03071653860007112,RSC,CA1,1
