row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,24,1.0226501549938583,1.216581044012577,-0.1939308890187188,0.9565217391304348,22
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,24,1.0226501549938583,0.6904047484562638,0.3322454065375945,0.043478260869565216,22
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,24,1.4357359336440496,1.615843473053198,-0.18010753940914848,0.6086956521739131,22
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,24,1.4357359336440496,1.5965134368302039,-0.16077750318615425,0.5217391304347826,22
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,24,1.4870266409560895,1.1557087026644837,0.33131793829160583,0.17391304347826086,22
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,24,1.4870266409560895,1.0726209835269331,0.41440565742915636,0.08695652173913043,22
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,24,1.0226501549938583,0.6567899810050895,0.3658601739887688,0.08695652173913043,22
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,24,1.0226501549938583,1.1027695475829902,-0.08011939258913192,0.8695652173913043,22
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,25,0.6854490986116254,0.6859754022797939,-0.0005263036681685263,0.3333333333333333,23
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,25,0.6854490986116254,0.714450778711694,-0.02900168010006865,0.375,23
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,25,1.4821535706733329,1.4887958958459082,-0.006642325172575347,0.25,23
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,25,1.4821535706733329,1.6838144832604949,-0.201660912587162,0.7916666666666666,23
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,25,1.2124284754661745,1.275135955957964,-0.06270748049178954,0.4166666666666667,23
13,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,25,1.2124284754661745,1.320621510962349,-0.10819303549617443,0.5833333333333334,23
14,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,25,0.6854490986116254,0.724332594340792,-0.038883495729166606,0.3333333333333333,23
15,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,25,0.6854490986116254,0.780536489669486,-0.09508739105786057,0.7916666666666666,23
16,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,29,1.300843000483181,1.3324011334434382,-0.031558132960257224,0.42857142857142855,27
17,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,29,1.300843000483181,1.5291527660959316,-0.22830976561275063,0.9285714285714286,27
18,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,29,0.9901108538801205,0.9594235842254962,0.030687269654624316,0.10714285714285714,27
19,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,29,0.9901108538801205,1.2115247925336416,-0.2214139386535211,0.9642857142857143,27
20,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,29,0.4998657304697051,0.39849770535536944,0.10136802511433568,0.03571428571428571,27
21,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,29,0.4998657304697051,0.5412173102268356,-0.0413515797571305,0.5357142857142857,27
