subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,0.000622304401714513,CA1,CA3,0
M02,-0.05883821862947036,CA1,CA3,0
M03,0.03817060908345282,CA1,CA3,0
M05,-0.07345544629093614,CA1,CA3,0
M01,-0.08264107188969927,CA1,CA3,1
M02,-0.026268928219745913,CA1,CA3,1
M03,-0.024876666764092836,CA1,CA3,1
M05,-0.015783235612220614,CA1,CA3,1
M01,0.04818881139368794,CA1,RSC,0
M02,-0.041221157496457494,CA1,RSC,0
M03,0.0693452071929973,CA1,RSC,0
M05,-0.030004660013119466,CA1,RSC,0
M01,0.024526675449781488,CA1,RSC,1
M02,-0.01893156129451018,CA1,RSC,1
M03,-0.038012953355115675,CA1,RSC,1
M05,0.034801167722568915,CA1,RSC,1
M01,-0.016042218314212875,CA3,CA1,0
M02,-0.041677949926387625,CA3,CA1,0
M03,0.017788441809237346,CA3,CA1,0
M05,-0.023168254390817877,CA3,CA1,0
M01,-0.046858211746767464,CA3,CA1,1
M02,-0.016559208119772004,CA3,CA1,1
M03,-0.020628140471248738,CA3,CA1,1
M05,-0.04993342925152483,CA3,CA1,1
M01,0.03378155345908451,RSC,CA1,0
M02,-0.0188264517207703,RSC,CA1,0
M03,0.0338789120819366,RSC,CA1,0
M05,-0.012586982715667272,RSC,CA1,0
M01,-0.07169949155103228,RSC,CA1,1
M02,-0.02628728912419641,RSC,CA1,1
M03,-0.017581302035916055,RSC,CA1,1
M05,-0.04967311797489676,RSC,CA1,1
